,inds,EAR_vals,ts
148,148,0.16409911169946748,2.9730815588589796
178,178,0.14263981399580214,3.575733226195259
179,179,0.09631028821996633,3.5958216151064684
180,180,0.06621489920550648,3.6159100040176777
181,181,0.05205974579204898,3.635998392928887
182,182,0.04569483977845072,3.6560867818400964
183,183,0.046283608032717916,3.6761751707513057
184,184,0.046283608032717916,3.696263559662515
185,185,0.11927245975349038,3.7163519485737244
186,186,0.14117413970193735,3.7364403374849338
187,187,0.15804907758758596,3.756528726396143
188,188,0.15680232090015195,3.7766171153073524
189,189,0.16742593199178826,3.796705504218562
368,368,0.16442723871351794,7.39252711932503
369,369,0.10232683184328463,7.4126155082362395
370,370,0.10232072771108736,7.432703897147449
371,371,0.15116614928915528,7.452792286058658
586,586,0.09,11.771795901968662
587,587,0.06516379881734649,11.791884290879871
588,588,0.0691390398125286,11.811972679791081
589,589,0.07126297820682242,11.83206106870229
590,590,0.07468562533769765,11.8521494576135
591,591,0.10807692307692307,11.872237846524708
592,592,0.17489978185858462,11.892326235435918
844,844,0.1288315011366088,16.954600241060668
845,845,0.11995205752330736,16.974688629971876
846,846,0.14922321728952334,16.994777018883084
847,847,0.16442723871351794,17.014865407794293
880,880,0.1157575205168128,17.6777822418642
881,881,0.10227888936659198,17.697870630775412
882,882,0.09803697101301256,17.71795901968662
883,883,0.13807084455066515,17.73804740859783
1013,1013,0.12989612463383265,20.349537967055042
1014,1014,0.16326108942436268,20.36962635596625
1094,1094,0.08412570809895614,21.976697468862998
1095,1095,0.10925266980931136,21.996785857774206
1096,1096,0.13,22.016874246685415
1097,1097,0.16681052525035706,22.036962635596623
1156,1156,0.10576923076923077,23.222177581357975
1157,1157,0.1216227766016838,23.242265970269184
1158,1158,0.14006357366396865,23.262354359180392
1159,1159,0.15804907758758596,23.2824427480916
1160,1160,0.16993607669774313,23.302531137002813
1263,1263,0.14117413970193735,25.371635194857372
1323,1323,0.1028746462856272,26.57693852952993
1324,1324,0.06586187861294032,26.59702691844114
1325,1325,0.0918368576081228,26.61711530735235
1326,1326,0.10065641745332346,26.63720369626356
1327,1327,0.1361319693567708,26.657292085174767
1495,1495,0.09462128703531404,30.032141422257933
1496,1496,0.09764201453489826,30.052229811169145
1497,1497,0.08996004793608947,30.072318200080353
1498,1498,0.1231470749190022,30.09240658899156
1499,1499,0.14583333333333334,30.11249497790277
1713,1713,0.16319716612210586,34.411410204901564
1714,1714,0.11694497750161904,34.431498593812776
1715,1715,0.13157353745950112,34.45158698272399
1716,1716,0.14,34.47167537163519
1819,1819,0.15993607669774315,36.54077942948975
1820,1820,0.12152559498280845,36.560867818400965
1821,1821,0.14000000634417215,36.58095620731217
1822,1822,0.17472235796778432,36.60104459622338
1975,1975,0.1331963140611849,39.67456809963841
1976,1976,0.12,39.69465648854962
1977,1977,0.1609723579677843,39.714744877460824
2498,2498,0.1669897158393165,50.18079550020088
2499,2499,0.1281207242340073,50.20088388911209
2500,2500,0.08542268900205863,50.220972278023304
